Symbol,Name,Date,Total Revenue,Cost of Revenue,Gross Profit,Research and Development,"Sales, General and Admin.",Non-Recurring Items,Other Operating Items,Operating Income,Add'l income/expense items,Earnings Before Interest and Tax,Interest Expense,Earnings Before Tax,Income Tax,Minority Interest,Equity Earnings/Loss Unconsolidated Subsidiary,Net Income-Cont. Operations,Net Income,Net Income Applicable to Common Shareholders
CVX,Chevron Corporation Common Stock (CVX),31/12/2020,94471000,72471000,22000000,0,7932000,1537000,19508000,-6977000,693000,-6756000,697000,-7453000,-1892000,-472000,18000,-6015000,-5543000,-5543000
CVX,Chevron Corporation Common Stock (CVX),31/12/2019,139865000,101498000,38367000,0,8696000,770000,29218000,-317000,2683000,6334000,798000,5536000,2691000,3968000,79000,6892000,2924000,2924000
HSBC,"HSBC Holdings, plc. Common Stock (HSBC)",31/12/2022,86423000,0,0,0,41704000,0,7465000,0,0,39977000,0,17528000,858000,2723000,0,19393000,16670000,16670000
HSBC,"HSBC Holdings, plc. Common Stock (HSBC)",31/12/2021,73639000,0,0,0,44722000,587000,2771000,0,0,28605000,0,18906000,4213000,3046000,0,17739000,14693000,14693000
HSBC,"HSBC Holdings, plc. Common Stock (HSBC)",31/12/2020,77252000,0,0,0,41836000,41000,14017000,0,0,22955000,0,8777000,2678000,1597000,0,7696000,6099000,6099000
HSBC,"HSBC Holdings, plc. Common Stock (HSBC)",31/12/2019,95257000,0,0,0,46756000,7349000,5926000,0,0,37580000,0,13347000,4639000,2354000,0,11062000,8708000,8708000
JPM,JP Morgan Chase & Co. Common Stock (JPM),31/12/2022,122306000,0,122306000,0,76140000,0,6389000,46166000,0,72263000,26097000,46166000,8490000,0,0,37676000,37676000,35892000
JPM,JP Morgan Chase & Co. Common Stock (JPM),31/12/2021,130905000,0,130905000,0,71343000,0,-9256000,59562000,0,65115000,5553000,59562000,11228000,0,0,48334000,48334000,46503000
JPM,JP Morgan Chase & Co. Common Stock (JPM),31/12/2020,102471000,0,102471000,0,66656000,0,17480000,35815000,0,45775000,9960000,35815000,6684000,0,0,29131000,29131000,27410000
JPM,JP Morgan Chase & Co. Common Stock (JPM),31/12/2019,110135000,0,110135000,0,65269000,0,5585000,44866000,0,71661000,26795000,44866000,8435000,0,0,36431000,36431000,34642000
BAC,Bank of America Corporation Common Stock (BAC),31/12/2022,115053000,0,0,0,61438000,0,2543000,0,0,51072000,0,30969000,3441000,0,0,27528000,27528000,26015000
BAC,Bank of America Corporation Common Stock (BAC),31/12/2021,93851000,0,0,0,59731000,0,-4594000,0,0,38714000,0,33976000,1998000,0,0,31978000,31978000,30557000
BAC,Bank of America Corporation Common Stock (BAC),31/12/2020,93753000,0,0,0,55213000,0,11320000,0,0,27220000,0,18995000,1101000,0,0,17894000,17894000,16473000
BAC,Bank of America Corporation Common Stock (BAC),31/12/2019,113589000,0,0,0,54900000,0,3590000,0,0,55099000,0,32754000,5324000,0,0,27430000,27430000,25998000
LLY,Eli Lilly and Company Common Stock (LLY),31/12/2022,28541400,6629800,21911600,7190800,6440400,1153100,0,7127300,-320900,6806400,0,6806400,561600,0,0,6244800,6244800,6244800
LLY,Eli Lilly and Company Common Stock (LLY),31/12/2021,28318400,7312800,21005600,6930700,6431600,1286200,0,6357100,-201600,6155500,0,6155500,573800,0,0,5581700,5581700,5581700
LLY,Eli Lilly and Company Common Stock (LLY),31/12/2020,24539800,5483300,19056500,5976300,6121200,901000,0,6058000,1171900,7229900,0,7229900,1036200,0,0,6193700,6193700,6193700
LLY,Eli Lilly and Company Common Stock (LLY),31/12/2019,22319500,4721200,17598300,5595000,6213800,815200,0,4974300,291600,5265900,0,5265900,628000,0,0,4637900,8318400,8318400
UNH,UnitedHealth Group Incorporated Common Stock (DE) (UNH),31/12/2022,324162000,210842000,113320000,0,0,0,84885000,28435000,0,28435000,2092000,26343000,5704000,0,-519000,20639000,20120000,20120000
UNH,UnitedHealth Group Incorporated Common Stock (DE) (UNH),31/12/2021,287597000,186911000,100686000,0,0,0,76716000,23970000,0,23970000,1660000,22310000,4578000,0,-447000,17732000,17285000,17285000
UNH,UnitedHealth Group Incorporated Common Stock (DE) (UNH),31/12/2020,257141000,159396000,97745000,0,0,0,75340000,22405000,0,22405000,1663000,20742000,4973000,0,-366000,15769000,15403000,15403000
UNH,UnitedHealth Group Incorporated Common Stock (DE) (UNH),31/12/2019,242155000,156440000,85715000,0,0,0,66030000,19685000,0,19685000,1704000,17981000,3742000,0,-400000,14239000,13839000,13839000
NVO,Novo Nordisk A/S Common Stock (NVO),31/12/2022,25396000,4083000,21313000,3451000,7126000,0,0,10736000,34000,10771000,859000,9912000,1943000,0,0,7969000,7969000,7969000
NVO,Novo Nordisk A/S Common Stock (NVO),31/12/2021,21528000,3617000,17911000,2717000,6227000,0,0,8967000,441000,9408000,375000,9033000,1731000,0,0,7302000,7302000,7302000
NVO,Novo Nordisk A/S Common Stock (NVO),31/12/2020,20867000,3441000,17426000,2542000,5987000,0,0,8897000,268000,9164000,431000,8733000,1807000,0,0,6927000,6927000,6927000
NVO,Novo Nordisk A/S Common Stock (NVO),31/12/2017,18014000,2844000,15171000,2260000,5013000,0,0,7897000,201000,8098000,247000,7851000,1702000,0,0,6150000,6150000,6150000
TMO,Thermo Fisher Scientific Inc Common Stock (TMO),31/12/2022,44915000,25944000,18971000,1471000,8993000,114000,0,8393000,168000,8561000,726000,7835000,703000,-172000,-10000,6950000,6950000,6950000
TMO,Thermo Fisher Scientific Inc Common Stock (TMO),31/12/2021,39211000,19573000,19638000,1406000,8007000,197000,0,10028000,-651000,9377000,536000,8841000,1109000,-4000,-3000,7725000,7725000,7725000
TMO,Thermo Fisher Scientific Inc Common Stock (TMO),31/12/2020,32218000,16214000,16004000,1181000,6930000,99000,0,7794000,-11000,7783000,553000,7230000,850000,-3000,-2000,6375000,6375000,6375000
TMO,Thermo Fisher Scientific Inc Common Stock (TMO),31/12/2019,25542000,14214000,11328000,1003000,6144000,-413000,0,4594000,154000,4748000,676000,4072000,374000,0,-2000,3696000,3696000,3696000
DHR,Danaher Corporation Common Stock (DHR),31/12/2022,31471000,12522000,18949000,1745000,8516000,0,0,8688000,-185000,8503000,211000,8292000,1083000,0,0,7209000,7209000,7103000
DHR,Danaher Corporation Common Stock (DHR),31/12/2021,29453000,11501000,17952000,1742000,8745000,0,0,7465000,371000,7836000,238000,7598000,1251000,0,0,6347000,6433000,6269000
DHR,Danaher Corporation Common Stock (DHR),31/12/2020,22284000,9809000,12475000,1348000,6896000,0,0,4231000,539000,4770000,275000,4495000,849000,0,0,3646000,3646000,3510000
DHR,Danaher Corporation Common Stock (DHR),31/12/2019,17911000,7927000,9984000,1126000,5589000,0,0,3269000,144000,3413000,108000,3305000,873000,0,0,2432000,3008000,2940000
LIN,Linde plc Ordinary Shares (LIN),31/12/2022,33364000,19450000,13914000,143000,4198000,0,4204000,5369000,237000,5606000,63000,5543000,1434000,172000,-134000,4147000,4147000,4147000
