Symbol,Name,Date,Cash and Cash Equivalents,Short-Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long-Term Investments,Fixed Assets,Goodwill,Intangible Assets,Other Assets,Deferred Asset Charges,Total Assets,Accounts Payable,Short-Term Debt / Current Portion of Long-Term Debt,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Other Liabilities,Deferred Liability Charges,Misc. Stocks,Minority Interest,Total Liabilities,Common Stocks,Capital Surplus,Retained Earnings,Treasury Stock,Other Equity,Total Equity,Total Liabilities & Equity
CMCSA,Comcast Corporation Class A Common Stock (CMCSA),31/12/2019,5500000,0,11292000,0,8600000,25392000,7683000,48322000,68725000,95493000,17799000,0,263414000,23072000,4452000,2768000,30292000,102931000,16765000,28180000,1148000,1372000,179316000,54000,50695000,-7517000,38447000,1047000,82726000,263414000
TBC,AT&T Inc. 5.625% Global Notes due 2067 (TBC),31/12/2022,3701000,0,11466000,3123000,14818000,33108000,3533000,149259000,67895000,129446000,19612000,0,402853000,48706000,7467000,0,56173000,128423000,54768000,57032000,8957000,0,305353000,7621000,-19415000,-17082000,123610000,2766000,97500000,402853000
TBC,AT&T Inc. 5.625% Global Notes due 2067 (TBC),31/12/2021,19223000,0,12313000,3325000,135907000,170768000,6168000,143473000,92740000,119221000,19252000,0,551622000,48055000,24620000,33555000,106230000,151011000,56759000,53767000,17523000,0,385290000,7621000,42350000,-17280000,130112000,3529000,166332000,551622000
TBC,AT&T Inc. 5.625% Global Notes due 2067 (TBC),31/12/2020,9740000,0,20215000,3695000,18358000,52008000,1780000,166781000,135259000,132523000,37410000,0,525761000,59968000,3470000,0,63438000,153775000,68836000,60472000,17567000,0,364088000,7621000,37457000,-17910000,130175000,4330000,161673000,525761000
TBC,AT&T Inc. 5.625% Global Notes due 2067 (TBC),31/12/2019,12130000,0,22636000,0,19995000,54761000,3695000,166601000,146241000,142272000,38099000,0,551669000,57073000,11838000,0,68911000,151309000,70013000,59502000,17713000,0,367448000,7621000,57936000,-13085000,126279000,5470000,184221000,551669000
NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares (NGG)",31/03/2023,580000,3221000,4854000,1083000,1784000,11522000,3011000,79669000,12175000,4457000,3972000,0,114616000,6558000,3928000,803000,11289000,50820000,7076000,8879000,30000,0,78094000,603000,39082000,0,1610000,-4773000,36523000,114616000
NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares (NGG)",31/03/2022,1010000,4141000,5031000,673000,13167000,24022000,3125000,75750000,12550000,4308000,5514000,0,124898000,6513000,16149000,9951000,32613000,45047000,6920000,8907000,30000,0,93518000,639000,35038000,0,1712000,-6008000,31380000,124898000
NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares (NGG)",31/03/2021,1479000,3231000,4120000,606000,4908000,14344000,2986000,64906000,6330000,1991000,2815000,0,92739000,4955000,5356000,2613000,12924000,38959000,6810000,6643000,29000,0,65367000,654000,31958000,0,1788000,-7028000,27372000,92739000
NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares (NGG)",31/03/2020,321000,2477000,3829000,681000,0,7308000,3456000,61703000,7083000,1605000,2732000,0,83771000,4573000,5520000,526000,10619000,34317000,8780000,5513000,27000,0,59256000,583000,27149000,0,1613000,-4830000,24515000,83771000
SO,Southern Company (The) Common Stock (SO),31/12/2022,1917000,0,3716000,2239000,2544000,10416000,3588000,95172000,5161000,406000,15503000,4645000,134891000,6090000,6894000,2740000,15724000,50656000,15408000,18571000,4124000,0,104483000,5417000,11538000,-53000,13673000,-167000,30408000,134891000
SO,Southern Company (The) Common Stock (SO),31/12/2021,1798000,0,2962000,1993000,2212000,8965000,3824000,91761000,5280000,445000,14401000,2858000,127534000,4463000,3597000,2861000,10921000,50120000,16631000,17295000,4402000,0,99369000,5279000,10929000,-47000,11950000,-237000,27874000,127534000
SO,Southern Company (The) Common Stock (SO),31/12/2020,1065000,0,3335000,2028000,2189000,8617000,3665000,88588000,5280000,487000,13934000,2364000,122935000,4679000,4116000,3284000,12079000,45073000,16385000,16873000,4262000,0,94672000,5268000,11311000,-46000,11834000,-395000,27972000,122935000
SO,Southern Company (The) Common Stock (SO),31/12/2019,1975000,0,3409000,1909000,2524000,9817000,3339000,84860000,5280000,536000,12699000,2169000,118700000,4240000,5044000,3262000,12546000,41798000,15440000,16866000,4254000,0,90904000,5257000,10877000,-42000,11734000,-321000,27505000,118700000
DUK,Duke Energy Corporation (Holding Company) Common Stock (DUK),31/12/2022,409000,0,4415000,3584000,4814000,13222000,9092000,117382000,19303000,0,19087000,0,178086000,6102000,8106000,4665000,18873000,67061000,29486000,10813000,2531000,0,128764000,1000,2637000,0,44862000,-140000,49322000,178086000
DUK,Duke Energy Corporation (Holding Company) Common Stock (DUK),31/12/2021,341000,0,3522000,3111000,2966000,9940000,10858000,112231000,19303000,0,17255000,0,169587000,4792000,6691000,4448000,15931000,60448000,31860000,10212000,1840000,0,120291000,1000,3265000,0,44371000,-303000,49296000,169587000
DUK,Duke Energy Corporation (Holding Company) Common Stock (DUK),31/12/2020,259000,0,3153000,3167000,2103000,8682000,10075000,106782000,19303000,0,17546000,0,162388000,4163000,7111000,5031000,16305000,55625000,31343000,9931000,1220000,0,114424000,1000,2471000,0,43767000,-237000,47964000,162388000
DUK,Duke Energy Corporation (Holding Company) Common Stock (DUK),31/12/2019,311000,0,3060000,3232000,2560000,9163000,10076000,102127000,19303000,0,18169000,0,158838000,4444000,6276000,4032000,14752000,54985000,31648000,9502000,1129000,0,112016000,1000,4108000,0,40881000,-130000,46822000,158838000
