,Unnamed: 0,Symbol,Name,Date,Current Assets,Cash and Cash Equivalents,Short-Term Investments,Net Receivables,Inventory,Other Current Assets,Total Current Assets,Long-Term Assets,Long-Term Investments,Fixed Assets,Goodwill,Intangible Assets,Other Assets,Deferred Asset Charges,Total Assets,Current Liabilities,Accounts Payable,Short-Term Debt / Current Portion of Long-Term Debt,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Other Liabilities,Deferred Liability Charges,Misc. Stocks,Minority Interest,Total Liabilities,Stock Holders Equity,Common Stocks,Capital Surplus,Retained Earnings,Treasury Stock,Other Equity,Total Equity,Total Liabilities & Equity
21,21,v,Visa Inc. (V),9/30/2021,,"$17,381,000","$2,025,000","$3,726,000",--,"$4,475,000","$27,607,000",,"$1,705,000","$2,715,000","$15,958,000","$27,664,000","$7,247,000",--,"$82,896,000",,"$6,071,000","$3,442,000","$6,226,000","$15,739,000","$19,978,000","$3,462,000","$6,128,000",--,--,"$45,307,000",,"$18,855,000","$15,351,000",--,--,"$303,000","$37,589,000","$82,896,000"
22,22,v,Visa Inc. (V),9/30/2020,,"$17,190,000","$3,752,000","$2,882,000",--,"$3,821,000","$27,645,000",,"$231,000","$2,737,000","$15,910,000","$27,808,000","$6,588,000",--,"$80,919,000",,"$4,685,000","$4,735,000","$5,090,000","$14,510,000","$21,071,000","$3,891,000","$5,237,000",--,--,"$44,709,000",,--,"$14,088,000",--,"$16,721,000","$315,000","$36,210,000","$80,919,000"
23,23,v,Visa Inc. (V),9/30/2019,,"$9,043,000","$4,236,000","$4,590,000",--,"$3,101,000","$20,970,000",,"$2,157,000","$2,695,000","$15,656,000","$26,780,000","$4,316,000",--,"$72,574,000",,"$4,225,000","$3,990,000","$5,200,000","$13,415,000","$16,729,000","$2,939,000","$4,807,000",--,--,"$37,890,000",,--,"$13,502,000",--,"$16,541,000","-$821,000","$34,684,000","$72,574,000"
24,0,ko,Coca-Cola Company (The) Common Stock (KO),12/31/2022,,"$9,519,000","$2,112,000","$3,487,000","$4,233,000","$3,240,000","$22,591,000",,"$18,765,000","$9,841,000","$18,782,000","$14,849,000","$6,189,000","$1,746,000","$92,763,000",,"$16,952,000","$2,772,000",--,"$19,724,000","$36,377,000","$7,922,000","$2,914,000","$1,721,000",--,"$68,658,000",,"$1,760,000","$71,019,000","-$52,601,000","$18,822,000","-$14,895,000","$24,105,000","$92,763,000"
25,1,ko,Coca-Cola Company (The) Common Stock (KO),12/31/2021,,"$9,684,000","$2,941,000","$3,512,000","$3,414,000","$2,994,000","$22,545,000",,"$18,416,000","$9,920,000","$19,363,000","$15,250,000","$6,731,000","$2,129,000","$94,354,000",,"$15,305,000","$4,645,000",--,"$19,950,000","$38,116,000","$8,607,000","$2,821,000","$1,861,000",--,"$71,355,000",,"$1,760,000","$69,094,000","-$51,641,000","$18,116,000","-$14,330,000","$22,999,000","$94,354,000"
26,2,ko,Coca-Cola Company (The) Common Stock (KO),12/31/2020,,"$6,795,000","$4,119,000","$3,144,000","$3,266,000","$1,916,000","$19,240,000",,"$20,085,000","$10,777,000","$17,506,000","$11,044,000","$6,184,000","$2,460,000","$87,296,000",,"$11,933,000","$2,668,000",--,"$14,601,000","$40,125,000","$9,453,000","$1,833,000","$1,985,000",--,"$67,997,000",,"$1,760,000","$66,555,000","-$52,016,000","$17,601,000","-$14,601,000","$19,299,000","$87,296,000"
27,3,ko,Coca-Cola Company (The) Common Stock (KO),12/31/2019,,"$6,480,000","$4,695,000","$3,971,000","$3,379,000","$1,886,000","$20,411,000",,"$19,879,000","$10,838,000","$16,764,000","$10,002,000","$6,075,000","$2,412,000","$86,381,000",,"$11,726,000","$15,247,000",--,"$26,973,000","$27,516,000","$8,510,000","$2,284,000","$2,117,000",--,"$67,400,000",,"$1,760,000","$65,855,000","-$52,244,000","$17,154,000","-$13,544,000","$18,981,000","$86,381,000"
28,4,pep,"PepsiCo, Inc. Common Stock (PEP)",12/31/2022,,"$4,954,000","$394,000","$10,163,000","$5,222,000","$806,000","$21,539,000",,"$3,073,000","$24,291,000","$18,202,000","$15,586,000","$5,292,000","$4,204,000","$92,187,000",,"$23,371,000","$3,414,000",--,"$26,785,000","$35,657,000","$8,339,000","$4,133,000","$124,000",--,"$75,038,000",,"$23,000","$67,800,000","-$39,506,000","$4,134,000","-$15,302,000","$17,149,000","$92,187,000"
29,5,pep,"PepsiCo, Inc. Common Stock (PEP)",12/25/2021,,"$5,596,000","$392,000","$8,680,000","$4,347,000","$2,768,000","$21,783,000",,"$2,350,000","$22,407,000","$18,381,000","$18,665,000","$4,481,000","$4,310,000","$92,377,000",,"$21,159,000","$4,308,000","$753,000","$26,220,000","$36,026,000","$9,154,000","$4,826,000","$108,000",--,"$76,334,000",,"$23,000","$65,165,000","-$38,248,000","$4,001,000","-$14,898,000","$16,043,000","$92,377,000"
30,6,pep,"PepsiCo, Inc. Common Stock (PEP)",12/26/2020,,"$8,185,000","$1,366,000","$8,404,000","$4,172,000","$874,000","$23,001,000",,"$2,792,000","$21,369,000","$18,757,000","$19,315,000","$3,312,000","$4,372,000","$92,918,000",,"$19,592,000","$3,780,000",--,"$23,372,000","$40,370,000","$11,340,000","$4,284,000","$98,000",--,"$79,464,000",,"$23,000","$63,443,000","-$38,446,000","$3,910,000","-$15,476,000","$13,454,000","$92,918,000"
31,7,pep,"PepsiCo, Inc. Common Stock (PEP)",12/28/2019,,"$5,509,000","$229,000","$7,822,000","$3,338,000","$747,000","$17,645,000",,"$2,683,000","$19,305,000","$15,501,000","$16,043,000","$3,011,000","$4,359,000","$78,547,000",,"$17,541,000","$2,920,000",--,"$20,461,000","$29,148,000","$9,979,000","$4,091,000","$82,000",--,"$63,761,000",,"$23,000","$61,946,000","-$36,769,000","$3,886,000","-$14,300,000","$14,786,000","$78,547,000"
32,8,sony,Sony Group Corporation American Depositary Shares (SONY),3/31/2023,,"$11,127,000","$2,467,000","$13,359,000","$11,030,000","$5,419,000","$43,403,000",,"$141,040,000","$10,105,000","$9,581,000","$4,236,000","$24,001,000","$8,384,000","$240,749,000",,"$38,936,000","$15,800,000","$15,209,000","$69,945,000","$13,282,000","$100,083,000","$2,677,000","$440,000",--,"$186,426,000",,"$6,615,000","$34,673,000","-$1,679,000","$10,999,000","$3,715,000","$54,322,000","$240,749,000"
33,9,sony,Sony Group Corporation American Depositary Shares (SONY),3/31/2022,,"$16,886,000","$2,972,000","$13,417,000","$7,201,000","$5,128,000","$45,604,000",,"$154,180,000","$9,172,000","$7,851,000","$3,708,000","$22,582,000","$8,034,000","$251,131,000",,"$39,841,000","$17,697,000","$14,636,000","$72,174,000","$9,917,000","$104,003,000","$5,738,000","$435,000",--,"$192,268,000",,"$7,253,000","$30,985,000","-$1,483,000","$12,038,000","$10,071,000","$58,863,000","$251,131,000"
34,10,sony,Sony Group Corporation American Depositary Shares (SONY),3/31/2021,,"$16,172,000","$3,728,000","$12,357,000","$5,762,000","$4,651,000","$42,670,000",,"$158,567,000","$8,964,000","$6,571,000","$3,539,000","$21,030,000","$7,599,000","$248,940,000",,"$39,486,000","$12,735,000","$14,329,000","$66,548,000","$9,535,000","$104,612,000","$7,390,000","$398,000",--,"$188,484,000",,"$7,966,000","$26,376,000","-$1,124,000","$13,481,000","$13,758,000","$60,456,000","$248,940,000"
35,11,sony,Sony Group Corporation American Depositary Shares (SONY),4/1/2020,,"$14,120,000","$3,054,000","$11,150,000","$5,226,000","$5,391,000","$38,941,000",,"$154,568,000","$8,563,000","$6,450,000","$3,525,000","$17,322,000","$3,718,000","$233,087,000",,"$34,947,000","$8,617,000","$13,846,000","$57,409,000","$8,767,000","$101,228,000","$9,720,000","$10,456,000",--,"$187,580,000",,"$8,217,000","$18,202,000","-$2,171,000","$12,114,000","$9,144,000","$45,507,000","$233,087,000"
36,12,xom,Exxon Mobil Corporation Common Stock (XOM),12/31/2022,,"$29,665,000",--,"$41,749,000","$24,435,000","$1,782,000","$97,631,000",,"$49,793,000","$204,692,000",--,--,"$16,951,000",--,"$369,067,000",,"$68,411,000","$634,000",--,"$69,045,000","$42,897,000","$31,778,000","$22,874,000","$7,424,000",--,"$174,018,000",,"$15,752,000","$432,860,000","-$240,293,000",--,"-$13,270,000","$195,049,000","$369,067,000"
37,13,xom,Exxon Mobil Corporation Common Stock (XOM),12/31/2021,,"$6,802,000",--,"$32,383,000","$18,780,000","$1,189,000","$59,154,000",,"$45,195,000","$216,552,000",--,--,"$18,022,000",--,"$338,923,000",,"$52,367,000","$4,276,000",--,"$56,643,000","$46,285,000","$40,147,000","$20,165,000","$7,106,000",--,"$170,346,000",,"$15,746,000","$392,059,000","-$225,464,000",--,"-$13,764,000","$168,577,000","$338,923,000"
38,14,xom,Exxon Mobil Corporation Common Stock (XOM),12/31/2020,,"$4,364,000",--,"$20,581,000","$18,850,000","$1,098,000","$44,893,000",,"$43,515,000","$227,553,000",--,--,"$16,789,000",--,"$332,750,000",,"$35,905,000","$20,458,000",--,"$56,363,000","$50,435,000","$43,657,000","$18,165,000","$6,980,000",--,"$175,600,000",,"$15,688,000","$383,943,000","-$225,776,000",--,"-$16,705,000","$157,150,000","$332,750,000"
39,15,xom,Exxon Mobil Corporation Common Stock (XOM),12/31/2019,,"$3,089,000",--,"$26,966,000","$18,528,000","$1,469,000","$50,052,000",,"$43,164,000","$253,018,000",--,--,"$16,363,000",--,"$362,597,000",,"$43,411,000","$20,578,000",--,"$63,989,000","$30,330,000","$43,720,000","$25,620,000","$7,288,000",--,"$170,947,000",,"$15,637,000","$421,341,000","-$225,835,000",--,"-$19,493,000","$191,650,000","$362,597,000"
40,16,shel,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) (SHEL),12/31/2022,,"$40,246,000",--,"$66,510,000","$31,894,000","$27,288,000","$165,938,000",,"$34,728,000","$198,642,000","$16,039,000","$9,662,000","$10,200,000","$7,815,000","$443,024,000",,"$84,226,000","$32,780,000","$4,305,000","$121,311,000","$78,226,000","$31,141,000","$19,749,000","$2,125,000",--,"$252,552,000",,"$584,000","$169,482,000","-$726,000",--,"$21,132,000","$190,472,000","$443,024,000"
41,17,shel,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) (SHEL),12/31/2021,,"$36,970,000",--,"$53,208,000","$25,258,000","$13,329,000","$128,765,000",,"$35,092,000","$194,932,000","$14,920,000","$9,773,000","$8,471,000","$12,426,000","$404,379,000",,"$66,427,000","$24,529,000","$4,591,000","$95,547,000","$82,943,000","$37,129,000","$13,434,000","$3,360,000",--,"$232,413,000",,"$641,000","$153,026,000","-$610,000",--,"$18,909,000","$171,966,000","$404,379,000"
42,18,shel,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) (SHEL),12/31/2020,,"$31,830,000",--,"$33,625,000","$19,457,000","$7,042,000","$91,954,000",,"$36,119,000","$209,700,000",--,"$22,710,000","$2,474,000","$16,311,000","$379,268,000",,"$47,683,000","$22,207,000","$3,818,000","$73,708,000","$93,419,000","$42,721,000","$10,883,000","$3,227,000",--,"$223,958,000",,"$651,000","$142,616,000","-$709,000",--,"$12,752,000","$155,310,000","$379,268,000"
43,19,shel,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) (SHEL),12/31/2019,,"$18,055,000",--,"$43,414,000","$24,071,000","$7,149,000","$92,689,000",,"$34,571,000","$238,349,000",--,"$23,486,000","$4,717,000","$10,524,000","$404,336,000",,"$56,320,000","$20,493,000","$2,811,000","$79,624,000","$83,702,000","$34,816,000","$15,731,000","$3,987,000",--,"$217,860,000",,"$657,000","$172,431,000","-$1,063,000",--,"$14,451,000","$186,476,000","$404,336,000"
44,20,cvx,Chevron Corporation Common Stock (CVX),12/31/2022,,"$17,678,000","$223,000","$20,456,000","$8,247,000","$3,739,000","$50,343,000",,"$46,307,000","$144,027,000","$4,722,000",--,--,"$12,310,000","$257,709,000",,"$32,244,000","$1,964,000",--,"$34,208,000","$21,375,000","$4,357,000","$37,527,000","$960,000",--,"$98,427,000",,"$1,832,000","$190,024,000","-$48,196,000","$18,660,000","-$3,038,000","$159,282,000","$257,709,000"
45,21,cvx,Chevron Corporation Common Stock (CVX),12/31/2021,,"$5,640,000","$35,000","$18,419,000","$6,795,000","$2,849,000","$33,738,000",,"$41,299,000","$147,729,000","$4,385,000",--,--,"$12,384,000","$239,535,000",,"$26,535,000","$256,000",--,"$26,791,000","$31,113,000","$6,248,000","$35,443,000","$873,000",--,"$100,468,000",,"$1,832,000","$165,546,000","-$41,464,000","$17,282,000","-$4,129,000","$139,067,000","$239,535,000"
46,22,cvx,Chevron Corporation Common Stock (CVX),12/31/2020,,"$5,596,000","$31,000","$11,471,000","$5,676,000","$3,304,000","$26,078,000",,"$39,641,000","$157,719,000","$4,402,000",--,--,"$11,950,000","$239,790,000",,"$20,635,000","$1,548,000",--,"$22,183,000","$42,767,000","$9,217,000","$32,897,000","$1,038,000",--,"$108,102,000",,"$1,832,000","$160,377,000","-$41,498,000","$16,829,000","-$5,852,000","$131,688,000","$239,790,000"
47,23,cvx,Chevron Corporation Common Stock (CVX),12/31/2019,,"$5,686,000","$63,000","$13,325,000","$5,848,000","$3,407,000","$28,329,000",,"$40,199,000","$153,905,000","$4,463,000",--,--,"$10,532,000","$237,428,000",,"$23,248,000","$3,282,000",--,"$26,530,000","$23,691,000","$7,866,000","$34,133,000","$995,000",--,"$93,215,000",,"$1,832,000","$174,945,000","-$44,599,000","$17,265,000","-$5,230,000","$144,213,000","$237,428,000"
48,24,hsbc,"HSBC Holdings, plc. Common Stock (HSBC)",12/31/2022,,"$947,518,000",--,"$8,527,000",--,--,--,,"$1,881,911,000",--,--,"$21,321,000","$317,848,000","$7,498,000","$2,966,530,000",,"$142,239,000","$127,747,000","$1,637,025,000",--,"$358,117,000","$402,513,000","$2,422,000","$8,544,000",--,"$2,779,046,000",,"$10,147,000","$152,068,000",--,"$14,664,000","$10,605,000","$187,484,000","$2,966,530,000"
49,25,hsbc,"HSBC Holdings, plc. Common Stock (HSBC)",12/31/2021,,"$1,019,222,000",--,"$5,106,000",--,--,--,,"$1,967,421,000",--,--,"$20,622,000","$189,786,000","$4,624,000","$2,957,939,000",,"$120,685,000","$126,670,000","$1,811,726,000",--,"$275,968,000","$312,396,000","$4,673,000","$8,527,000",--,"$2,759,689,000",,"$10,316,000","$144,458,000",--,"$14,602,000","$28,874,000","$198,250,000","$2,957,939,000"
50,26,hsbc,"HSBC Holdings, plc. Common Stock (HSBC)",12/31/2020,,"$889,135,000",--,"$5,048,000",--,--,--,,"$2,095,080,000",--,--,"$20,443,000","$201,965,000","$4,483,000","$2,984,164,000",,"$133,657,000","$111,901,000","$1,724,860,000",--,"$378,267,000","$308,728,000","$4,313,000","$8,552,000",--,"$2,787,721,000",,"$10,347,000","$140,572,000",--,"$14,277,000","$31,247,000","$196,443,000","$2,984,164,000"
51,27,hsbc,"HSBC Holdings, plc. Common Stock (HSBC)",12/31/2019,,"$756,815,000",--,"$5,711,000",--,--,--,,"$2,001,795,000",--,--,"$20,163,000","$180,307,000","$4,632,000","$2,715,152,000",,"$125,123,000","$140,344,000","$1,498,137,000",--,"$322,667,000","$303,683,000","$3,375,000","$8,713,000",--,"$2,531,197,000",,"$10,319,000","$136,679,000",--,"$13,959,000","$22,998,000","$183,955,000","$2,715,152,000"
52,28,jpm,JP Morgan Chase & Co. Common Stock (JPM),12/31/2022,,"$882,826,000",--,"$125,189,000",--,--,--,,"$2,386,251,000","$27,734,000",--,"$60,859,000","$182,884,000",--,"$3,665,743,000",,"$300,141,000","$246,640,000","$2,340,179,000",--,"$473,841,000",--,--,"$12,610,000",--,"$3,373,411,000",,"$4,105,000","$296,456,000","-$107,336,000","$89,044,000","-$17,341,000","$292,332,000","$3,665,743,000"
53,29,jpm,JP Morgan Chase & Co. Common Stock (JPM),12/31/2021,,"$1,002,532,000",--,"$102,570,000",--,--,--,,"$2,373,206,000","$27,070,000",--,"$56,691,000","$181,498,000",--,"$3,743,567,000",,"$262,755,000","$247,934,000","$2,462,303,000",--,"$465,698,000",--,--,"$10,750,000",--,"$3,449,440,000",,"$4,105,000","$272,268,000","-$105,415,000","$88,415,000","-$84,000","$294,127,000","$3,743,567,000"
54,30,jpm,JP Morgan Chase & Co. Common Stock (JPM),12/31/2020,,"$823,893,000",--,"$90,503,000",--,--,--,,"$2,238,285,000","$27,109,000",--,"$53,428,000","$151,539,000",--,"$3,384,757,000",,"$231,285,000","$260,417,000","$2,144,257,000",--,"$451,866,000",--,--,"$17,578,000",--,"$3,105,403,000",,"$4,105,000","$236,990,000","-$88,184,000","$88,394,000","$7,986,000","$279,354,000","$3,384,757,000"
